Daily figures
Date,Actives,Total Uploads,Cases,Daily Uploads,Expected Uploads,Shortfall
2020-10-09,1300000,2168,506,92,132,30
2020-10-10,1300000,2318,617,150,161,6
2020-10-11,1300000,2439,1012,121,264,54
2020-10-12,1300000,2575,814,136,212,36
2020-10-13,1300000,2673,825,98,215,54
2020-10-14,1300000,2783,811,110,211,48
2020-10-15,1300000,2893,1095,110,285,61
2020-10-16,1300000,3035,1205,142,314,54
2020-10-17,1300000,3151,1000,116,261,55
2020-10-18,1300000,3206,1276,55,333,83
2020-10-19,1300000,3293,1283,87,335,74
2020-10-20,1300000,3416,1031,123,269,54
2020-10-21,1300000,3563,1269,147,331,55
2020-10-22,1300000,3884,1167,321,304,-5
2020-10-23,1300000,4006,1066,122,278,56
2020-10-24,1300000,4175,777,169,202,16
2020-10-25,1300000,4295,859,120,224,46
2020-10-26,1300000,4367,1025,72,267,73
2020-10-27,1300000,4432,939,65,245,73
2020-10-28,1300000,4498,720,66,188,64
2020-10-29,1300000,4528,675,30,176,83
2020-10-30,1300000,4587,866,59,226,73
2020-10-31,1300000,4643,772,56,201,72
2020-11-01,1300000,4692,416,49,108,54
2020-11-02,1300000,4737,552,45,144,68
2020-11-03,1300000,4759,767,22,200,89
2020-11-04,1300000,4798,322,39,84,53
2020-11-05,1300000,4837,444,39,115,66
2020-11-06,1300000,4881,591,44,154,71
2020-11-07,1300000,4912,499,31,130,76
2020-11-08,1300000,4946,335,34,87,61
2020-11-09,1300000,4975,542,29,141,79
2020-11-10,1300000,5002,270,27,70,61
2020-11-11,1300000,5031,270,29,70,58
2020-11-12,1300000,5049,362,18,94,81
2020-11-13,1300000,5082,395,33,103,68
2020-11-14,1300000,5115,482,33,125,73
2020-11-15,1300000,5140,456,25,119,79
2020-11-16,1300000,5179,378,39,98,60
2020-11-17,1300000,5206,456,27,119,77
2020-11-18,1300000,5241,366,35,95,63
2020-11-19,1300000,5273,379,32,98,67
2020-11-20,1300000,5273,429,0,112,100
2020-11-21,1300000,5312,330,39,86,54
2020-11-22,1300000,5332,344,20,89,77
2020-11-23,1300000,5350,318,18,83,78
2020-11-24,1300000,5363,252,13,65,80
2020-11-25,1300000,5384,226,21,59,64
2020-11-26,1300000,5411,269,27,70,61
2020-11-27,1300000,5433,335,22,87,74
2020-11-28,1300000,5450,206,17,53,68
2020-11-29,1300000,5468,243,18,63,71
2020-11-30,1300000,5481,299,13,78,83
2020-12-01,1300000,5499,306,18,79,77
2020-12-02,1300000,5514,269,15,70,78
2020-12-03,1300000,5531,270,17,70,76
2020-12-04,1300000,5549,183,18,47,62
2020-12-05,1300000,5558,265,9,69,87
2020-12-06,1300000,5570,456,12,119,89
2020-12-07,1300000,5587,301,17,78,78
2020-12-08,1300000,5592,242,5,63,92
2020-12-09,1300000,5608,215,16,56,71
2020-12-10,1300000,5613,227,5,59,91
2020-12-11,1300000,5628,227,15,59,74
2020-12-12,1300000,5653,313,25,81,69
2020-12-13,1300000,5672,248,19,64,70
2020-12-14,1300000,5697,429,25,112,77
2020-12-15,1300000,5711,264,14,68,79
2020-12-16,1300000,5731,329,20,85,76
2020-12-17,1300000,5754,431,23,112,79
2020-12-18,1300000,5793,484,39,126,69
2020-12-20,1300000,5898,527,105,137,23
2020-12-21,1300000,5930,764,32,199,83
2020-12-22,1300000,5990,727,60,189,68
2020-12-23,1300000,6047,970,57,253,77
2020-12-24,1300000,6151,938,104,244,57
2020-12-25,1300000,6254,922,103,240,57
2020-12-26,1300000,6326,922,72,240,70
2020-12-27,1300000,6326,922,0,240,100
2020-12-28,1300000,6581,744,255,194,-31
2020-12-29,1300000,6767,765,186,199,6
2020-12-30,1300000,6972,1546,205,403,49
2020-12-31,1300000,7198,1718,226,448,49
2021-01-01,1300000,7433,1620,235,423,44
2021-01-02,1300000,7730,1754,297,458,35
2021-01-03,1300000,8100,3394,370,886,58
2021-01-04,1300000,8616,4962,516,1295,60
2021-01-05,1300000,9195,4962,579,1295,55
2021-01-06,1300000,9846,5325,651,1390,53
2021-01-07,1300000,10217,7836,371,2046,81
2021-01-08,1300000,10677,6521,460,1703,72
2021-01-09,1300000,11030,8248,353,2154,83
2021-01-10,1300000,11264,4842,234,1264,81
2021-01-11,1300000,11503,6888,239,1799,86
2021-01-12,1300000,11627,4929,124,1287,90
2021-01-13,1300000,11828,3086,201,806,75
2021-01-14,1300000,12009,3569,181,932,80
2021-01-15,1300000,12169,3955,160,1032,84
2021-01-16,1300000,12331,3498,162,913,82
2021-01-17,1300000,12451,3231,120,843,85
2021-01-18,1300000,12523,2944,72,768,90
2021-01-19,1300000,12593,2121,70,553,87
2021-01-20,1300000,12700,2001,107,522,79
2021-01-21,1300000,12809,2488,109,649,83
2021-01-22,1300000,12881,2608,72,681,89
2021-01-23,1300000,12952,2371,71,619,88
2021-01-24,1300000,13008,1910,56,498,88
2021-01-25,1300000,13046,1378,38,359,89
2021-01-26,1300000,13069,1372,23,358,93
2021-01-27,1300000,13122,928,53,242,78
2021-01-28,1300000,13158,1335,36,348,89
2021-01-29,1300000,13197,1466,39,382,89
2021-01-30,1300000,13244,1254,47,327,85
2021-01-31,1300000,13295,1414,51,369,86
2021-02-01,1300000,13324,1247,29,325,91
2021-02-02,1300000,13361,1062,37,277,86
2021-02-03,1300000,13400,879,39,229,83
2021-02-04,1300000,13435,879,35,229,84
2021-02-05,1300000,13485,1318,50,344,85
2021-02-06,1300000,13515,1047,30,273,89
2021-02-07,1300000,13553,827,38,215,82
2021-02-08,1300000,13579,1024,26,267,90
2021-02-09,1300000,13592,829,13,216,93
2021-02-10,1300000,13632,556,40,145,72
2021-02-11,1300000,13666,1006,34,262,87
2021-02-12,1300000,13706,866,40,226,82
2021-02-13,1300000,13749,921,43,240,82
2021-02-14,1300000,13789,1078,40,281,85
2021-02-15,1300000,13804,788,15,205,92
2021-02-16,1300000,13838,821,34,214,84
2021-02-17,1300000,13869,744,31,194,84
2021-02-18,1300000,13905,650,36,169,78
2021-02-19,1300000,13941,901,36,235,84
2021-02-20,1300000,13974,763,33,199,83
2021-02-21,1300000,14006,988,32,258,87
2021-02-22,1300000,14026,679,20,177,88
2021-02-23,1300000,14058,686,32,179,82
2021-02-24,1300000,14080,575,22,150,85
2021-02-25,1300000,14110,574,30,149,80
2021-02-26,1300000,14127,613,17,160,89
2021-02-27,1300000,14155,776,28,202,86
2021-02-28,1300000,14192,738,37,192,80
2021-03-01,1300000,14212,612,20,159,87
2021-03-02,1300000,14234,687,22,179,87
2021-03-03,1300000,14255,359,21,93,77
2021-03-04,1300000,14285,566,30,147,79
2021-03-05,1300000,14305,462,20,120,83
2021-03-06,1300000,14323,522,18,136,86
2021-03-07,1300000,14339,539,16,140,88
2021-03-08,1300000,14355,525,16,137,88
2021-03-09,1300000,14367,437,12,114,89
2021-03-10,1300000,14394,311,27,81,66
2021-03-11,1300000,14416,631,22,164,86
2021-03-12,1300000,14439,592,23,154,85
2021-03-13,1300000,14468,646,29,168,82
2021-03-14,1300000,14481,543,13,141,90
2021-03-15,1300000,14489,384,8,100,92
2021-03-16,1300000,14498,575,9,150,94
2021-03-17,1300000,14517,349,19,91,79
2021-03-18,1300000,14537,557,20,145,86
2021-03-19,1300000,14562,582,25,152,83
2021-03-20,1300000,14579,507,17,132,87
2021-03-21,1300000,14595,525,16,137,88
2021-03-22,1300000,14609,769,14,200,93
2021-03-23,1300000,14620,769,11,200,94
2021-03-24,1300000,14650,371,30,96,69
2021-03-25,1300000,14675,683,25,178,86
2021-03-26,1300000,14700,606,25,158,84
2021-03-27,1300000,14717,584,17,152,88
2021-03-28,1300000,14729,624,12,162,92
2021-03-29,1300000,14749,604,20,157,87
2021-03-30,1300000,14767,604,18,157,88
2021-03-31,1300000,14797,368,30,96,68
2021-04-01,1300000,14832,411,35,107,67
2021-04-02,1300000,14860,761,28,198,85
2021-04-03,1300000,14883,591,23,154,85
2021-04-04,1300000,14903,511,20,133,85
2021-04-05,1300000,14912,457,9,119,92
2021-04-06,1300000,14928,320,16,83,80
2021-04-07,1300000,14939,443,11,115,90
2021-04-08,1300000,14957,423,18,110,83
2021-04-09,1300000,14973,400,16,104,84
2021-04-10,1300000,14984,473,11,123,91
2021-04-11,1300000,14992,455,8,118,93
2021-04-12,1300000,15005,303,13,79,83
2021-04-13,1300000,15016,394,11,102,89
2021-04-14,1300000,15026,358,10,93,89
2021-04-15,1300000,15039,431,13,112,88
2021-04-16,1300000,15051,309,12,80,85
2021-04-17,1300000,15063,420,12,109,89
2021-04-18,1300000,15079,420,16,109,85
2021-04-19,1300000,15095,269,16,70,77
2021-04-20,1300000,15116,403,21,105,80
2021-04-21,1300000,15135,390,19,101,81
2021-04-22,1300000,15149,401,14,104,86
2021-04-23,1300000,15169,617,20,161,87
2021-04-24,1300000,15196,434,27,113,76
2021-04-25,1300000,15219,461,23,120,80
2021-04-26,1300000,15228,429,9,112,91
2021-04-27,1300000,15240,437,12,114,89
2021-04-28,1300000,15249,426,9,111,91
2021-04-29,1300000,15267,371,18,96,81
2021-04-30,1300000,15297,474,30,123,75
2021-05-01,1300000,15319,545,22,142,84
2021-05-02,1300000,15335,569,16,148,89
2021-05-03,1300000,15348,402,13,104,87
2021-05-04,1300000,15357,453,9,118,92
2021-05-05,1300000,15375,383,18,100,82
2021-05-06,1300000,15389,418,14,109,87
2021-05-07,1300000,15411,393,22,102,78
2021-05-08,1300000,15426,434,15,113,86
2021-05-09,1300000,15439,408,13,106,87
2021-05-10,1300000,15454,514,15,134,88
2021-05-11,1300000,15472,381,18,99,81
2021-05-12,1300000,15492,379,20,98,79
2021-05-13,1300000,15505,448,13,117,88
2021-05-14,1300000,15522,456,17,119,85
2021-05-15,1300000,15530,425,8,111,92
2021-05-16,1300000,15556,425,26,111,76
2021-05-17,1300000,15567,425,11,111,90
2021-05-18,1300000,15578,425,11,111,90
2021-05-19,1300000,15594,425,16,111,85
2021-05-20,1300000,15617,425,23,111,79
2021-05-21,1300000,15631,425,14,111,87
2021-05-22,1300000,15651,425,20,111,82
2021-05-23,1300000,15657,425,6,111,94
2021-05-24,1300000,15674,425,17,111,84
2021-05-25,1300000,15688,425,14,111,87
2021-05-26,1300000,15700,425,12,111,89
2021-05-27,1300000,15716,425,16,111,85
2021-05-28,1300000,15739,425,23,111,79
2021-05-29,1300000,15754,425,15,111,86
2021-05-30,1300000,15767,425,13,111,88
2021-05-31,1300000,15777,425,10,111,91
2021-06-01,1300000,15801,425,24,111,78
2021-06-02,1300000,15810,425,9,111,91
2021-06-03,1300000,15825,407,15,106,85
2021-06-04,1300000,15839,465,14,121,88
2021-06-05,1300000,15851,529,12,138,91
2021-06-06,1300000,15855,416,4,108,96
2021-06-07,1300000,15861,416,6,108,94
2021-06-08,1300000,15861,416,0,108,100
2021-06-09,1300000,15889,271,28,70,60
2021-06-10,1300000,15900,259,11,67,83
2021-06-11,1300000,15909,398,9,103,91
2021-06-12,1300000,15929,319,20,83,76
2021-06-13,1300000,15946,431,17,112,84
2021-06-14,1300000,15954,315,8,82,90
2021-06-15,1300000,15959,242,5,63,92
2021-06-16,1300000,15973,283,14,73,81
2021-06-17,1300000,15986,329,13,85,84
2021-06-18,1300000,15998,373,12,97,87
2021-06-19,1300000,16012,313,14,81,82
2021-06-20,1300000,16018,393,6,102,94
2021-06-21,1300000,16028,288,10,75,86
2021-06-22,1300000,16044,284,16,74,78
2021-06-23,1300000,16061,294,17,76,77
2021-06-24,1300000,16076,348,15,90,83
2021-06-25,1300000,16091,304,15,79,81
2021-06-26,1300000,16107,380,16,99,83
2021-06-27,1300000,16117,443,10,115,91
2021-06-28,1300000,16120,443,3,115,97
2021-06-29,1300000,16142,305,22,79,72
2021-06-30,1300000,16163,351,21,91,77
2021-07-01,1300000,16163,351,0,91,100
2021-07-02,1300000,16163,351,0,91,100
2021-07-03,1300000,16163,351,0,91,100
2021-07-04,1300000,16163,351,0,91,100
2021-07-05,1300000,16163,351,0,91,100
2021-07-06,1300000,16249,365,86,95,9
2021-07-07,1300000,16275,397,26,103,74
2021-07-08,1300000,16289,581,14,151,90
2021-07-09,1300000,16310,534,21,139,84
2021-07-10,1300000,16345,631,35,164,78
2021-07-11,1300000,16375,581,30,151,80
2021-07-12,1300000,16414,576,39,150,74
2021-07-13,1300000,16463,600,49,156,68
2021-07-14,1300000,16492,589,29,153,81
2021-07-15,1300000,16544,783,52,204,74
2021-07-16,1300000,16580,994,36,259,86
2021-07-17,1300000,16617,1173,37,306,87
2021-07-18,1300000,16655,1377,38,359,89
2021-07-19,1300000,16718,1179,63,307,79
2021-07-20,1300000,16755,1071,37,279,86
2021-07-21,1300000,16808,1110,53,289,81
2021-07-22,1300000,16860,1378,52,359,85
2021-07-23,1300000,16902,1189,42,310,86
2021-07-24,1300000,16957,1386,55,361,84
2021-07-25,1300000,16999,1345,42,351,88
2021-07-26,1300000,17044,1126,45,294,84
2021-07-27,1300000,17092,1345,48,351,86
2021-07-28,1300000,17126,1120,34,292,88
2021-07-29,1300000,17173,1408,47,367,87
2021-07-30,1300000,17208,1361,35,355,90
2021-07-31,1300000,17237,1501,29,392,92
2021-08-01,1300000,17275,1427,38,372,89
2021-08-02,1300000,17317,1098,42,286,85
2021-08-03,1300000,17348,1352,31,353,91
2021-08-04,1300000,17386,1015,38,265,85
2021-08-05,1300000,17423,1314,37,343,89
2021-08-06,1300000,17465,1491,42,389,89
2021-08-07,1300000,17516,1782,51,465,89
2021-08-08,1300000,17555,1828,39,477,91
2021-08-09,1300000,17598,1837,43,479,91
2021-08-10,1300000,17634,1522,36,397,90
2021-08-11,1300000,17679,1508,45,393,88
2021-08-12,1300000,17727,1819,48,475,89
2021-08-13,1300000,17766,1903,39,497,92
2021-08-14,1300000,17794,1978,28,516,94
2021-08-15,1300000,17829,2074,35,541,93
2021-08-16,1300000,17865,1758,36,459,92
2021-08-17,1300000,17893,1558,28,406,93
2021-08-18,1300000,17917,1496,24,390,93
2021-08-19,1300000,17951,1861,34,486,93
2021-08-20,1300000,17951,1861,0,486,100
2021-08-21,1300000,18054,2098,103,547,81
2021-08-22,1300000,18076,2125,22,555,96
2021-08-23,1300000,18120,1688,44,440,90
2021-08-24,1300000,18153,1592,33,415,92
2021-08-25,1300000,18189,1571,36,410,91
2021-08-26,1300000,18222,2051,33,535,93
2021-08-27,1300000,18268,1866,46,487,90
2021-08-28,1300000,18305,1875,37,489,92
2021-08-29,1300000,18341,1997,36,521,93
2021-08-30,1300000,18374,1706,33,445,92
2021-08-31,1300000,18406,1293,32,337,90
2021-09-01,1300000,18436,1382,30,360,91
2021-09-02,1300000,18458,1789,22,467,95
2021-09-03,1300000,18478,1751,20,457,95
2021-09-04,1300000,18498,1414,20,369,94
2021-09-05,1300000,18527,1703,29,444,93
2021-09-06,1300000,18557,1180,30,308,90
2021-09-07,1300000,18573,1144,16,298,94
2021-09-08,1300000,18590,1470,17,383,95
2021-09-09,1300000,18616,1545,26,403,93
2021-09-10,1300000,18638,1292,22,337,93
2021-09-11,1300000,18662,1620,24,423,94
2021-09-12,1300000,18698,1466,36,382,90
2021-09-13,1300000,18722,1346,24,351,93
2021-09-14,1300000,18737,1394,15,364,95
2021-09-15,1300000,18752,1181,15,308,95
2021-09-16,1300000,18767,1185,15,309,95
2021-09-17,1300000,18777,1413,10,369,97
2021-09-18,1300000,18792,1392,15,363,95
2021-09-19,1300000,18803,1456,11,380,97
2021-09-20,1300000,18821,1224,18,319,94
2021-09-21,1300000,18840,1154,19,301,93
2021-09-22,1300000,18851,1154,11,301,96
2021-09-23,1300000,18867,1432,16,374,95
2021-09-24,1300000,18878,1355,11,353,96
2021-09-25,1300000,18897,1163,19,303,93
2021-09-26,1300000,18923,1335,26,348,92
2021-09-27,1300000,18942,1459,19,381,95
2021-09-28,1300000,18962,1049,20,273,92
2021-09-29,1300000,18974,1499,12,391,96
2021-09-30,1300000,19001,1453,27,379,92
2021-10-01,1300000,19019,1271,18,331,94
2021-10-02,1300000,19032,1059,13,276,95
2021-10-03,1300000,19050,1586,18,414,95
2021-10-04,1300000,19069,1051,19,274,93
2021-10-05,1300000,19091,892,22,232,90
2021-10-06,1300000,19109,1124,18,293,93
2021-10-07,1300000,19150,984,41,257,84
2021-10-08,1300000,19173,984,23,257,91
2021-10-09,1300000,19220,2002,47,522,91
2021-10-10,1300000,19241,1940,21,506,95
2021-10-11,1300000,19289,1384,48,361,86
2021-10-12,1300000,19313,1358,24,354,93
2021-10-13,1300000,19348,1466,35,382,90
2021-10-14,1300000,19384,2066,36,539,93
2021-10-15,1300000,19413,1627,29,424,93
2021-10-16,1300000,19436,1914,23,499,95
2021-10-17,1300000,19475,2180,39,569,93
2021-10-18,1300000,19507,1380,32,360,91
2021-10-19,1300000,19527,1578,20,412,95
2021-10-20,1300000,19555,2399,28,626,95
2021-10-21,1300000,19592,2148,37,561,93
2021-10-22,1300000,19618,2029,26,529,95
30 Day interval summary
Start,End,Cases,Uploads,Expected,Shortfall
2020-10-09,2020-11-07,25201,2836,6582,56
2020-11-08,2020-12-07,9992,675,2609,74
2020-12-08,2021-01-07,44727,4630,11681,60
2021-01-08,2021-02-06,80789,3298,21100,84
2021-02-07,2021-03-08,21675,840,5661,85
2021-03-09,2021-04-07,16115,584,4208,86
2021-04-08,2021-05-07,12661,472,3306,85
2021-05-08,2021-06-06,12912,444,3372,86
2021-06-07,2021-07-06,10318,394,2694,85
2021-07-07,2021-08-05,31541,1174,8237,85
2021-08-06,2021-09-04,52474,1075,13705,92
2021-09-05,2021-10-04,40031,571,10455,94
Overall
2020-10-09,2021-10-22,387891,17542,101309,82
